capacity_bytes,date,failure,gray_n,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
12000138625024,2018-08-07,0,-1,ST12000NM0007,ZJV03SGJ,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,69.0,31.0,,,100.0,14.0,100.0,274.0,31.0,31.0,81.0,134489208.0,,,100.0,0.0,100.0,0.0,200.0,0.0,81.0,134489208.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,2804.0,100.0,23256895992.0,100.0,24973324500.0,,,,,,,,,,,,,,,95.0,0.0,100.0,4.0,100.0,0.0,85.0,349837094.0,,,97.0,2862.0
12000138625024,2018-08-13,0,-1,ST12000NM0007,ZCH0A4T3,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,75.0,25.0,,,100.0,60.0,100.0,458.0,25.0,25.0,82.0,169954784.0,,,100.0,0.0,100.0,0.0,200.0,0.0,82.0,169954784.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,4805.0,100.0,37388949112.0,100.0,49206898997.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,89.0,711623081.0,,,95.0,4921.0
8001563222016,2018-08-13,0,-1,ST8000NM0055,ZA16DWST,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,71.0,29.0,96.0,9347.0,100.0,4.0,94.0,12301.0,29.0,29.0,81.0,132256928.0,,,100.0,0.0,100.0,0.0,200.0,0.0,81.0,132256928.0,,,,,,,,,,,,,,,,,,,,,,,100.0,12486.0,100.0,44222496752.0,100.0,87441941402.0,,,,,,,,,,,,,,,99.0,0.0,100.0,1.0,100.0,0.0,94.0,2702034198.0,,,86.0,12512.0
4000787030016,2018-08-13,0,-1,HGST HMS5C4040BLE640,PL2331LAHAZ5XJ,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,161.0,100.0,161.0,230.0,26.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,100.0,100.0,435.0,100.0,7.0,100.0,0.0,100.0,0.0,113.0,42.0,98.0,14770.0
4000787030016,2018-08-13,0,-1,ST4000DM000,S300MK03,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,1.0,547587.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,117.0,120669160.0,,,,,,,,,,,,,,,,,,,,,,,100.0,14608.0,100.0,11127900019.0,100.0,93298656591.0,,,,,,,,,,,,,,,91.0,0.0,100.0,8.0,100.0,0.0,84.0,292766192.0,,,79.0,18537.0
4000787030016,2018-08-13,0,-1,HGST HMS5C4040BLE640,PL1331LAH3DNWH,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,60.0,100.0,60.0,193.0,31.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,100.0,100.0,436.0,100.0,5.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,13019.0
4000787030016,2018-08-13,0,-1,ST4000DM000,Z3015KQ9,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,64.0,72207.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,2.0,119.0,211379824.0,,,,,,,,,,,,,,,,,,,,,,,100.0,31322.0,100.0,25940142391.0,100.0,210713887519.0,,,,,,,,,,,,,,,91.0,0.0,100.0,9.0,100.0,0.0,84.0,240959367.0,,,64.0,31865.0
4000787030016,2018-08-13,0,-1,ST4000DM000,Z305D489,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,99.0,2475.0,18.0,18.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,119.0,216186600.0,,,,,,,,,,,,,,,,,,,,,,,100.0,19813.0,100.0,33789934128.0,100.0,98923244565.0,,,,,,,,,,,,,,,94.0,0.0,100.0,6.0,100.0,0.0,87.0,664333506.0,,,78.0,19826.0
12000138625024,2018-08-13,0,-1,ST12000NM0007,ZCH0BXCN,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,31.0,100.0,257.0,28.0,28.0,79.0,75215848.0,,,100.0,0.0,100.0,0.0,200.0,0.0,79.0,75215848.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,5105.0,100.0,38852797792.0,100.0,52042841204.0,,,,,,,,,,,,,,,95.0,0.0,100.0,4.0,100.0,0.0,89.0,708398362.0,,,95.0,5139.0
4000787030016,2018-08-13,0,-1,ST4000DM000,Z3024V77,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,92.0,8.0,74.0,26.0,100.0,0.0,100.0,4.0,60.0,80299.0,26.0,26.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,118.0,176662672.0,,,,,,,,,,,,,,,,,,,,,,,100.0,33135.0,100.0,26286556341.0,100.0,270964508176.0,,,,,,,,,,,,,,,91.0,0.0,100.0,16.0,100.0,0.0,87.0,477273526.0,,,62.0,33744.0
8001563222016,2018-08-13,0,-1,ST8000NM0055,ZA12X1WF,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,95.0,10792.0,100.0,0.0,97.0,7801.0,33.0,33.0,1.0,211105944.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,211105944.0,,,,,,,,,,,,,,,,,,,,,,,100.0,10121.0,100.0,38973250968.0,100.0,71986657502.0,,,,,,,,,,,,,,,93.0,0.0,100.0,4.0,100.0,0.0,93.0,2173284953.0,,,89.0,10154.0
4000787030016,2018-04-13,0,-1,HGST HMS5C4040BLE640,PL1331LAHD5K3H,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,56.0,100.0,56.0,253.0,23.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,105.0,100.0,434.0,100.0,5.0,100.0,0.0,100.0,0.0,113.0,42.0,98.0,16998.0
