date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,gray_n
2015-09-26,MJ1311YNG3HH5A,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,134.0,109.0,130.0,561.0,100.0,16.0,100.0,0.0,100.0,0.0,132.0,32.0,96.0,34635.0,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,,,,,,,,,99.0,1233.0,99.0,1233.0,240.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-09-26,W3009YKQ,ST4000DM000,4000787030016,0,119.0,230274712.0,,,92.0,0.0,100.0,27.0,100.0,0.0,85.0,369619175.0,,,79.0,19016.0,100.0,0.0,,,100.0,27.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,16.0,83.0,34729.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,143439022803132.0,100.0,25813318786.0,100.0,85396990594.0,,,,,,,,,,,-1
2015-09-26,S30111FB,ST4000DM000,4000787030016,0,117.0,136758472.0,,,99.0,0.0,100.0,1.0,100.0,0.0,83.0,208038842.0,,,96.0,3873.0,100.0,0.0,,,100.0,1.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,92.0,17271.0,17.0,17.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3757.0,100.0,19698668864.0,100.0,15835164817.0,,,,,,,,,,,-1
2015-09-26,Z3010377,ST4000DM000,4000787030016,0,117.0,148752160.0,,,95.0,0.0,100.0,5.0,100.0,0.0,79.0,96069278.0,,,82.0,15797.0,100.0,0.0,,,100.0,4.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,99.0,1.0,79.0,21.0,100.0,0.0,100.0,1.0,96.0,8881.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,8482560425361.0,100.0,22110588686.0,100.0,53249797913.0,,,,,,,,,,,-1
2015-09-26,Z300GZEA,ST4000DM000,4000787030016,0,117.0,127183336.0,,,92.0,0.0,100.0,8.0,100.0,0.0,87.0,594477683.0,,,78.0,19345.0,100.0,0.0,,,100.0,8.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,96.0,4.0,73.0,27.0,100.0,0.0,100.0,3.0,94.0,12898.0,27.0,27.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,214937343380308.0,100.0,26373456956.0,100.0,134213730785.0,,,,,,,,,,,-1
2015-09-26,PL2331LAGMDUSJ,HGST HMS5C4040BLE640,4000787030016,0,100.0,0.0,133.0,104.0,100.0,448.0,100.0,9.0,100.0,0.0,100.0,0.0,111.0,43.0,99.0,12273.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,,,,,,,100.0,120.0,100.0,120.0,214.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-09-26,PL2331LAGRX2XJ,HGST HMS5C4040ALE640,4000787030016,0,100.0,0.0,133.0,104.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,10426.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,100.0,123.0,100.0,123.0,171.0,35.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-09-26,S3010750,ST4000DM000,4000787030016,0,119.0,229560416.0,,,99.0,0.0,100.0,1.0,100.0,0.0,81.0,123994235.0,,,97.0,3130.0,100.0,0.0,,,100.0,1.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,90.0,20825.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3031.0,100.0,15975000576.0,100.0,1759589353.0,,,,,,,,,,,-1
2015-09-26,Z302Q5L3,ST4000DM000,4000787030016,0,118.0,168898496.0,,,95.0,0.0,100.0,5.0,100.0,0.0,73.0,24355448.0,,,100.0,709.0,100.0,0.0,,,100.0,5.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,98.0,5446.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,278189326729903.0,100.0,7912076646.0,100.0,676315812.0,,,,,,,,,,,-1
2015-09-26,Z302AKS1,ST4000DM000,4000787030016,0,109.0,23352144.0,,,91.0,0.0,100.0,11.0,100.0,0.0,84.0,243149179.0,,,94.0,5554.0,100.0,0.0,,,100.0,11.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,80.0,41045.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,5412.0,100.0,24471182800.0,100.0,33846084753.0,,,,,,,,,,,-1
2015-07-23,PL1331LAGSR98H,HGST HMS5C4040ALE640,4000787030016,0,100.0,0.0,134.0,100.0,100.0,437.0,100.0,6.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,8771.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,100.0,114.0,100.0,114.0,166.0,36.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-07-23,PL2331LAGSTGLJ,HGST HMS5C4040ALE640,4000787030016,0,100.0,0.0,132.0,108.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,8865.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,100.0,62.0,100.0,62.0,181.0,33.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-07-23,Z302B0RV,ST4000DM000,4000787030016,0,117.0,166401672.0,,,91.0,0.0,100.0,10.0,100.0,0.0,82.0,167796084.0,,,96.0,3990.0,100.0,0.0,,,100.0,10.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,79.0,42578.0,18.0,18.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,3839.0,100.0,19702223536.0,100.0,195552490230.0,,,,,,,,,,,-1
2015-07-23,MJ0351YNG9YMLA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,134.0,112.0,124.0,563.0,100.0,17.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,22753.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,100.0,200.0,100.0,200.0,253.0,23.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-07-23,Z300XFQH,ST4000DM000,4000787030016,0,118.0,200400512.0,,,93.0,0.0,100.0,7.0,100.0,0.0,82.0,192141441.0,,,83.0,15058.0,100.0,0.0,,,100.0,7.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,90.0,10.0,77.0,23.0,100.0,0.0,100.0,1.0,91.0,19153.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,258277858359918.0,100.0,22487321474.0,100.0,205371298318.0,,,,,,,,,,,-1
2015-07-23,JK1101B9JPGMKF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,114.0,630.0,100.0,33.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,38555.0,100.0,0.0,,,100.0,33.0,,,,,,,,,,,,,,,,,,,,,100.0,1168.0,100.0,1168.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-07-23,S300YQ07,ST4000DM000,4000787030016,0,114.0,73967776.0,,,99.0,0.0,100.0,1.0,100.0,0.0,71.0,13345410.0,,,99.0,1160.0,100.0,0.0,,,100.0,1.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,0.0,81.0,38977.0,19.0,19.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,885.0,100.0,2416139168.0,100.0,315798833.0,,,,,,,,,,,-1
2015-07-23,Z300VX36,ST4000DM000,4000787030016,0,114.0,68249672.0,,,91.0,0.0,100.0,12.0,100.0,0.0,88.0,696182424.0,,,86.0,12296.0,100.0,0.0,,,100.0,12.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,95.0,5.0,77.0,23.0,100.0,0.0,100.0,2.0,81.0,38444.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,12145.0,100.0,23372578522.0,100.0,350025000690.0,,,,,,,,,,,-1
2015-07-23,MJ0351YNG9WANA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,108.0,132.0,506.0,100.0,23.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,24130.0,100.0,0.0,,,100.0,23.0,,,,,,,,,,,,,,,,,,,,,100.0,368.0,100.0,368.0,162.0,37.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-07-23,W300BND1,ST4000DM000,4000787030016,0,114.0,71404728.0,,,91.0,0.0,100.0,15.0,100.0,0.0,87.0,502245923.0,,,80.0,18176.0,100.0,0.0,,,100.0,15.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,5.0,87.0,26925.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,50534585222787.0,100.0,28836152990.0,100.0,139659700631.0,,,,,,,,,,,-1
2015-10-13,JK1101B9GDSNLF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,114.0,630.0,100.0,31.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,43640.0,100.0,0.0,,,100.0,29.0,,,,,,,,,,,,,,,,,,,,,100.0,1094.0,100.0,1094.0,157.0,38.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,MJ1321YNG1799A,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,100.0,0.0,134.0,576.0,100.0,14.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,35474.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,99.0,1283.0,99.0,1283.0,240.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,JK11A8B9J3W5WF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,121.0,573.0,100.0,27.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,39226.0,100.0,0.0,,,100.0,27.0,,,,,,,,,,,,,,,,,,,,,100.0,1004.0,100.0,1004.0,240.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,PL1311LAG3DVLH,Hitachi HDS5C4040ALE630,4000787030016,0,100.0,0.0,131.0,113.0,126.0,555.0,100.0,18.0,100.0,0.0,100.0,0.0,111.0,43.0,97.0,21770.0,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,,,,,,,,,100.0,27.0,100.0,27.0,253.0,22.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,PL2331LAGN4DXJ,HGST HMS5C4040BLE640,4000787030016,0,100.0,0.0,134.0,100.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,0.0,115.0,41.0,99.0,12080.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,100.0,46.0,100.0,46.0,162.0,37.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,Z4D04LT9,ST6000DX000,6001175126016,0,116.0,108258584.0,,,89.0,0.0,100.0,25.0,100.0,0.0,86.0,441578512.0,,,95.0,5151.0,100.0,0.0,,,100.0,24.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,69.0,31.0,100.0,1056.0,100.0,0.0,98.0,5899.0,31.0,31.0,66.0,108258584.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,27311697040392.0,100.0,18483204258.0,100.0,46132024351.0,,,,,,,,,,,-1
2015-10-13,JK2171B9J0MS6L,Hitachi HDS722020ALA330,2000398934016,0,98.0,65540.0,100.0,0.0,118.0,599.0,100.0,20.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,42110.0,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,100.0,1081.0,100.0,1081.0,200.0,30.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,MJ1321YNG0NASA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,100.0,0.0,126.0,560.0,100.0,15.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,35412.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,99.0,1285.0,99.0,1285.0,214.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
2015-10-13,JK1105B8GDMMLX,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,113.0,637.0,100.0,23.0,100.0,1.0,100.0,0.0,100.0,0.0,94.0,42958.0,100.0,0.0,,,100.0,23.0,,,,,,,,,,,,,,,,,,,,,100.0,1093.0,100.0,1093.0,240.0,25.0,,,100.0,1.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
