capacity_bytes,date,failure,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
500107862016,2018-01-21,1,ST500LM012 HN,S2ZYJ9DG701096,252.0,0.0,100.0,642.0,100.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,252.0,0.0,252.0,0.0,,,64.0,35.0,100.0,0.0,252.0,0.0,252.0,0.0,252.0,0.0,200.0,0.0,100.0,1019.0,100.0,256561.0,,,,,,,100.0,642.0,,,90.0,108749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,0.0,94.0,2026.0,100.0,17.0,252.0,0.0,252.0,0.0,252.0,0.0,100.0,17740.0
4000787030016,2018-01-21,1,ST4000DM000,Z300WN6T,100.0,0.0,,,100.0,35.0,,,,,,,,,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,78.0,22.0,100.0,0.0,100.0,22.0,93.0,14331.0,22.0,22.0,,,,,98.0,328.0,98.0,328.0,200.0,0.0,119.0,204814016.0,,,,,,,,,,,,,,,,,,,,,,,100.0,35540.0,100.0,29881822730.0,100.0,244140807740.0,,,,,,,,,,,,,,,92.0,0.0,100.0,35.0,100.0,0.0,82.0,176932484.0,,,60.0,35600.0
4000787030016,2018-08-11,1,ST4000DM000,Z304KBQQ,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,92.0,8.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,93.0,15666.0,25.0,25.0,,,,,100.0,16.0,100.0,16.0,200.0,0.0,115.0,87029440.0,,,,,,,,,,,,,,,,,,,,,,,100.0,24076.0,100.0,44098805376.0,100.0,97292510378.0,,,,,,,,,,,,,,,91.0,0.0,100.0,11.0,100.0,0.0,81.0,143455332.0,,,73.0,24224.0
12000138625024,2018-08-11,1,ST12000NM0007,ZCH0CL7E,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,79.0,21.0,,,100.0,33.0,100.0,280.0,21.0,21.0,77.0,53132576.0,,,100.0,0.0,100.0,0.0,200.0,0.0,77.0,53132576.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,5065.0,100.0,38926237368.0,100.0,53656270748.0,,,,,,,,,,,,,,,98.0,0.0,100.0,2.0,100.0,0.0,88.0,4990271694.0,,,95.0,5108.0
4000787030016,2018-06-14,1,ST4000DM000,W300KQS9,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,93.0,7.0,78.0,22.0,100.0,0.0,100.0,5.0,41.0,119480.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,118.0,195224608.0,,,,,,,,,,,,,,,,,,,,,,,100.0,38115.0,100.0,28091771801.0,100.0,342489667367.0,,,,,,,,,,,,,,,91.0,0.0,100.0,17.0,100.0,0.0,78.0,82521750.0,,,56.0,39025.0
4000787030016,2018-06-14,1,ST4000DM000,Z300W8KT,100.0,0.0,,,100.0,24.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,14.0,96.0,9799.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,106.0,12358400.0,,,,,,,,,,,,,,,,,,,,,,,100.0,39405.0,100.0,30581277436.0,100.0,285973818134.0,,,,,,,,,,,,,,,92.0,0.0,100.0,24.0,100.0,0.0,84.0,315112633.0,,,55.0,39457.0
12000138625024,2018-06-14,1,ST12000NM0007,ZCH0AX9F,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,72.0,28.0,,,100.0,52.0,100.0,266.0,28.0,28.0,80.0,105445704.0,,,100.0,0.0,100.0,0.0,200.0,0.0,80.0,105445704.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,2280.0,100.0,14018009376.0,100.0,15140274520.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,82.0,167225725.0,,,98.0,2384.0
4000787030016,2018-06-14,1,ST4000DM000,Z3025L1C,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,24.0,76.0,100.0,0.0,93.0,7.0,76.0,24.0,100.0,0.0,100.0,0.0,88.0,24623.0,24.0,24.0,,,,,26.0,12128.0,26.0,12128.0,200.0,0.0,105.0,67341361.0,,,,,,,,,,,,,,,,,,,,,,,100.0,31381.0,100.0,24003845244.0,100.0,170166188815.0,,,,,,,,,,,,,,,92.0,0.0,100.0,8.0,99.0,592.0,81.0,157039043.0,,,64.0,31565.0
4000787030016,2018-06-14,1,ST4000DM000,Z3059K3G,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,98.0,2.0,100.0,0.0,51.0,49.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,83.0,34341.0,22.0,22.0,,,,,100.0,32.0,100.0,32.0,200.0,0.0,101.0,102658608.0,,,,,,,,,,,,,,,,,,,,,,,100.0,21636.0,100.0,40368172752.0,100.0,88107682064.0,,,,,,,,,,,,,,,93.0,0.0,100.0,7.0,98.0,2680.0,90.0,995355277.0,,,76.0,21889.0
8001563222016,2018-06-14,1,ST8000DM002,ZA142S2M,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,96.0,9319.0,100.0,1.0,94.0,12727.0,23.0,23.0,22.0,123988272.0,,,100.0,0.0,100.0,0.0,200.0,0.0,81.0,123988272.0,,,,,,,,,,,,,,,,,,,,,,,100.0,14195.0,100.0,47727872784.0,100.0,85477246668.0,,,,,,,,,,,,,,,98.0,0.0,100.0,1.0,100.0,96.0,95.0,3319404374.0,,,84.0,14247.0
