date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
7/23/15,S300XRK1,ST4000DM000,4.00079E+12,1,115,98822400,,,92,0,100,8,100,0,84,253516521,,,95,4447,100,0,,,100,7,,,,,,,100,0,100,0,91,9,100,2,100,0,76,24,100,0,100,0,99,2357,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,4431,100,13562117508,100,80828176370,,,,,,,,,,
7/23/15,Z300CX14,ST4000DM000,4.00079E+12,1,117,132274944,,,92,0,100,8,100,0,85,365867367,,,82,16353,100,0,,,100,8,,,,,,,99,1,100,0,100,0,100,0,99,1,78,22,100,0,100,5,91,18037,22,22,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,7.60553E+13,100,23621932640,100,1.17543E+11,,,,,,,,,,
7/23/15,Z300W3DA,ST4000DM000,4.00079E+12,1,119,232544728,,,92,0,100,16,100,0,81,136246996,,,84,14090,100,0,,,100,16,,,,,,,100,0,100,0,100,0,100,0,93,7,67,33,100,0,100,13,100,1269,33,33,,,,,99,288,99,288,200,0,,,,,,,,,,,,,,,,,100,3.88995E+13,100,21227241196,100,2.06386E+11,,,,,,,,,,
7/23/15,S1F0T2LA,ST3000DM001,3.00059E+12,1,117,146996384,,,92,0,100,42,100,440,82,173001568,,,72,24684,100,0,,,100,42,,,,,,,100,0,100,0,99,1,100,60130459662,100,0,75,25,100,0,100,10,1,290027,25,25,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1.3652E+14,100,3.72543E+11,100,6.92341E+13,,,,,,,,,,
7/23/15,Z302FEY9,ST4000DM000,4.00079E+12,1,116,107298992,,,99,0,100,1,100,0,83,225345718,,,96,3971,100,0,,,100,1,,,,,,,100,0,100,0,97,3,100,0,100,0,74,26,100,0,100,0,99,3777,26,26,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,3951,100,13609313048,100,62456335153,,,,,,,,,,
10/13/15,Z302EQTE,ST4000DM000,4.00079E+12,1,118,198422720,,,99,0,100,1,100,0,82,197405243,,,96,4279,100,0,,,100,1,,,,,,,100,0,100,0,99,1,100,0,100,0,83,17,100,0,100,0,91,18049,17,17,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,100,4164,100,21622331056,100,6328299051,,,,,,,,,,
10/13/15,Z300PB4X,ST4000DM000,4.00079E+12,1,117,162481848,,,92,0,100,11,100,0,84,272890442,,,81,17193,100,0,,,100,11,,,,,,,100,0,100,0,94,6,100,0,99,1,73,27,100,0,100,5,80,41029,27,27,,,,,100,16,100,16,200,0,,,,,,,,,,,,,,,,,100,1.15346E+14,100,27132691700,100,2.16938E+11,,,,,,,,,,
10/13/15,WD-WMC4N3003571,WDC WD30EFRX,3.00059E+12,1,200,72,,,170,6500,100,7,200,0,100,0,,,95,4376,100,0,100,0,100,7,,,,,,,,,,,,,,,,,,,,,200,0,200,164,124,26,,,200,0,200,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/15,W3009FB2,ST4000DM000,4.00079E+12,1,117,162055888,,,91,0,100,15,96,5128,86,429850773,,,77,20240,100,0,,,100,15,,,,,,,100,0,100,0,100,0,100,0,99,1,80,20,100,0,100,5,82,37862,20,20,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,2.68869E+14,100,24219733634,100,2.55949E+11,,,,,,,,,,
10/13/15,Z300X1T4,ST4000DM000,4.00079E+12,1,120,241920448,,,92,0,100,10,100,296,84,293054178,,,82,15989,100,0,,,100,10,,,,,,,100,0,100,0,100,0,100,0,89,11,74,26,100,0,100,7,98,5962,26,26,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,100,2.19842E+14,100,21944156162,100,2.08056E+11,,,,,,,,,,
12/16/15,Z304HWPP,ST4000DM000,4.00079E+12,1,115,89009128,,,99,0,100,1,100,0,69,8193141,,,100,639,100,0,,,100,1,,,,,,,99,1,100,0,100,0,100,0,100,0,73,27,100,0,100,0,97,6744,27,27,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,488,100,1652789272,100,283203224,,,,,,,,,,
12/16/15,S300XB2L,ST4000DM000,4.00079E+12,1,119,208882144,,,99,0,100,4,100,0,82,196493888,,,96,3705,100,0,,,100,1,,,,,,,100,0,100,0,100,0,100,0,100,0,77,23,100,0,100,0,99,2647,23,23,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,3694,100,19398734512,100,9214068818,,,,,,,,,,
12/16/15,MK0333YHGNWVYC,Hitachi HDS723030ALA640,3.00059E+12,1,70,92015776,133,91,132,629,100,39,82,508,100,0,133,27,95,35394,100,0,,,100,38,,,,,,,,,,,,,,,,,,,,,100,44,100,44,253,21,,,82,508,100,2,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/15,Z3011CME,ST4000DM000,4.00079E+12,1,113,50555816,,,92,0,100,8,100,16,87,668483617,,,84,14597,100,0,,,100,8,,,,,,,100,0,100,0,95,5,100,0,100,0,71,29,100,0,100,0,95,10535,29,29,,,,,100,16,100,16,200,0,,,,,,,,,,,,,,,,,100,1.11424E+14,100,18013945768,100,56500754204,,,,,,,,,,
12/2/15,Z303Z8PN,ST4000DM000,4.00079E+12,1,111,39060640,,,96,0,100,4,100,0,81,121347019,,,98,1837,100,0,,,100,4,,,,,,,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,2,100,436,26,26,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1787,100,9017994508,100,37880943302,,,,,,,,,,
12/2/15,W300H735,ST4000DM000,4.00079E+12,1,117,129255824,,,92,0,100,17,100,0,86,422477302,,,79,19003,100,0,,,100,16,,,,,,,100,0,100,0,100,0,100,0,97,3,79,21,100,0,100,11,90,20071,21,21,,,,,100,56,100,56,200,0,,,,,,,,,,,,,,,,,100,1.68449E+13,100,24423847716,100,1.4339E+11,,,,,,,,,,
2/13/15,Z300PLKY,ST4000DM000,4.00079E+12,1,96,176107265,,,92,0,100,9,93,8656,90,947738795,,,87,11745,100,0,,,100,9,,,,,,,100,0,100,0,1,364,100,0,98,2,74,26,100,0,100,6,98,4003,26,26,,,,,98,448,98,448,200,0,,,,,,,,,,,,,,,,,100,1.17003E+14,100,18932195710,100,1.96071E+11,,,,,,,,,,
2/13/15,6XW055P8,ST31500541AS,1.5003E+12,1,117,124038032,,,100,0,100,47,84,666,72,6.6785E+11,,,48,46049,100,0,,,100,47,,,,,,,100,0,100,0,100,0,100,0,100,0,73,27,,,,,,,27,27,51,124038032,,,100,1,100,1,200,0,,,,,,,,,,,,,,,,,100,1.71275E+14,100,1983325075,100,3682422842,,,,,,,,,,
2/13/15,S2T0J9ACB00421,ST250LM004 HN,2.50059E+11,1,100,6,252,0,91,2861,100,11,252,0,252,0,252,0,100,16255,252,0,100,727,100,12,,,,,,,,,,,,,,,,,,,252,0,252,0,,,64,22,100,0,252,0,100,1,252,0,200,0,100,794,,,,,,,100,727,,,66,346417,,,,,,,,,,,,,,,,,,
5/26/15,W300B610,ST4000DM000,4.00079E+12,1,119,233516184,,,92,0,100,10,94,7520,84,241732930,,,82,16328,100,0,,,100,10,,,,,,,100,0,100,0,98,2,100,0,95,5,78,22,100,0,100,6,93,14810,22,22,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,2.64205E+14,100,24215006514,100,2.52966E+11,,,,,,,,,,
5/26/15,JK11A8B9J747NF,Hitachi HDS722020ALA330,2.0004E+12,1,100,0,100,0,136,581,100,13,100,12,100,0,100,0,95,37655,100,0,,,100,13,,,,,,,,,,,,,,,,,,,,,100,907,100,907,150,40,,,100,12,100,1,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,PL1331LAGTVTSH,HGST HMS5C4040ALE640,4.00079E+12,1,100,0,134,101,100,0,100,3,100,0,100,0,113,42,100,5843,100,0,,,100,3,,,,,,,,,,,,,,,,,,,,,100,22,100,22,206,29,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,JK1175YAHU30BX,Hitachi HDS722020ALA330,2.0004E+12,1,95,655364,100,0,116,622,100,21,100,12,100,0,100,0,94,43239,100,0,,,100,19,,,,,,,,,,,,,,,,,,,,,100,311,100,311,200,30,,,100,12,100,3,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,MJ1311YNG60X1A,Hitachi HDS5C3030ALA630,3.00059E+12,1,100,0,135,108,137,567,100,11,100,0,100,0,130,33,97,27362,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,100,11,100,11,214,28,,,100,0,100,5,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,WD-WX11D4447459,WDC WD60EFRX,6.00118E+12,1,200,0,,,251,6441,100,22,200,0,100,0,,,91,6816,100,0,100,0,100,21,,,,,,,,,,,,,,,,,,,,,200,9,200,392,129,23,,,200,0,200,0,100,0,200,0,200,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,6XW0PT6T,ST31500541AS,1.5003E+12,1,119,206099299,,,100,0,100,25,100,0,88,797490733,,,74,23229,100,0,,,100,25,,,,,,,100,0,100,0,94,6,100,0,100,0,70,30,,,,,,,30,30,53,206099299,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.0414E+14,100,1431624983,100,4236040126,,,,,,,,,,
5/26/15,PL1331LAGRZS6H,HGST HMS5C4040ALE640,4.00079E+12,1,74,97912257,133,104,140,550,100,13,100,0,100,0,113,42,99,8380,100,0,,,100,13,,,,,,,,,,,,,,,,,,,,,100,236,100,236,230,26,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/15,Z3016V37,ST4000DM000,4.00079E+12,1,119,208346184,,,98,0,100,2,100,0,90,943755822,,,88,10683,100,0,,,100,2,,,,,,,100,0,100,0,87,13,100,0,96,4,73,27,100,0,100,2,100,678,27,27,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.6722E+14,100,19643276064,100,99681963593,,,,,,,,,,
5/27/15,W300HMYC,ST4000DM000,4.00079E+12,1,103,5561432,,,92,0,100,9,100,0,79,87777913,,,99,1450,100,0,,,100,9,,,,,,,100,0,100,0,100,0,100,0,100,0,81,19,100,0,100,2,99,3413,19,19,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1426,100,7815621998,100,22089723605,,,,,,,,,,
5/27/15,9XW01YME,ST31500541AS,1.5003E+12,1,118,197807176,,,100,0,100,97,95,224,90,10686687439,,,46,47792,100,0,,,100,95,,,,,,,100,0,100,0,91,9,100,4295032834,100,0,76,24,,,,,,,24,24,47,197807176,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,9.62502E+12,100,3831814345,100,3813503325,,,,,,,,,,
5/27/15,6XW10BQH,ST31500541AS,1.5003E+12,1,115,89873706,,,100,0,100,82,96,172,88,10187564904,,,49,44777,100,0,,,100,80,,,,,,,100,0,100,0,98,2,100,2,100,0,75,25,,,,,,,25,25,50,89873706,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1.8812E+12,100,409718542,100,2724587817,,,,,,,,,,
5/27/15,JK1175YAHTZX8X,Hitachi HDS722020ALA330,2.0004E+12,1,100,0,100,0,115,627,100,23,100,41,100,0,100,0,94,43261,100,0,,,100,23,,,,,,,,,,,,,,,,,,,,,100,313,100,313,206,29,,,100,41,100,2,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/15,Z3025LC1,ST4000DM000,4.00079E+12,1,114,69461640,,,98,0,100,2,100,0,83,226689772,,,96,3582,100,0,,,100,2,,,,,,,100,0,100,0,100,0,100,1,98,2,80,20,100,0,100,0,100,359,20,20,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,100,3579,100,13030429706,100,72133753095,,,,,,,,,,
2/12/15,5YD6RQDX,ST1500DL003,1.5003E+12,1,107,12890608,,,92,0,100,31,100,0,67,1.41927E+11,,,85,13407,100,0,,,100,31,,,,,,,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,6,100,31,26,26,36,12890608,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.75685E+14,100,2300198865,100,2014381280,,,,,,,,,,
2/6/15,PL1331LAGSPWJH,HGST HMS5C4040ALE640,4.00079E+12,1,100,0,134,103,100,0,100,3,100,71,100,0,113,42,100,3895,100,0,,,100,3,,,,,,,,,,,,,,,,,,,,,100,11,100,11,214,28,,,100,98,100,16,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/15,9VS4W5SC,ST31500341AS,1.5003E+12,1,104,7294749,,,100,0,100,52,25,3079,90,1036489652,,,75,22223,100,0,,,100,52,,,,,,,,,100,0,100,0,100,4295032833,99,1,69,31,,,,,,,31,31,33,7294749,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.78584E+14,100,510086525,100,3972915049,,,,,,,,,,
2/6/15,MJ1311YNG3KWJA,Hitachi HDS5C3030ALA630,3.00059E+12,1,1,4294967295,100,0,123,568,100,17,100,0,100,0,100,0,96,29710,100,0,,,100,17,,,,,,,,,,,,,,,,,,,,,100,1158,100,1158,214,28,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/15,PL1311LAG1851A,Hitachi HDS5C4040ALE630,4.00079E+12,1,100,0,133,107,135,504,100,28,100,0,100,0,111,43,99,10667,100,0,,,100,26,,,,,,,,,,,,,,,,,,,,,100,228,100,228,222,27,,,100,0,100,0,100,0,200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/15,W300DCYK,ST4000DM000,4.00079E+12,1,113,207097368,,,91,0,100,16,100,8,88,692796281,,,76,21479,100,0,,,100,15,,,,,,,100,0,100,0,97,3,100,0,100,0,76,24,100,0,100,9,91,19100,24,24,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,1.74535E+14,100,25912435146,100,1.52323E+11,,,,,,,,,,
12/3/15,W3009JS3,ST4000DM000,4.00079E+12,1,118,194867064,,,91,0,100,14,100,0,88,697529613,,,76,21479,100,0,,,100,13,,,,,,,100,0,100,0,100,0,100,0,95,5,77,23,100,0,100,7,93,15653,23,23,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,6.86035E+13,100,26029323888,100,1.59339E+11,,,,,,,,,,
12/3/15,Z3025R9L,ST4000DM000,4.00079E+12,1,117,151051760,,,93,0,100,7,100,0,86,444040933,,,91,8596,100,0,,,100,7,,,,,,,100,0,100,0,100,0,100,0,100,0,68,32,100,0,100,0,82,37835,32,32,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,8452,100,15663352939,100,1.39995E+11,,,,,,,,,,
12/17/15,WD-WXB1AA3W1886,WDC WD3200BEKX,3.20073E+11,1,200,0,,,100,0,100,3,140,507,200,1,,,83,12571,100,0,100,0,100,3,,,,,,,,,,,,,,,,,,,,,200,1,188,37846,108,35,,,187,13,200,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/15,Z3016PHJ,ST4000DM000,4.00079E+12,1,103,6029560,,,97,0,100,3,95,6104,84,245666997,,,83,15611,100,0,,,100,3,,,,,,,100,0,100,0,100,0,100,0,94,6,80,20,100,0,100,1,100,763,20,20,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,15607,100,22517860178,100,1.17013E+11,,,,,,,,,,
12/17/15,PL2331LAGUKL2J,HGST HMS5C4040ALE640,4.00079E+12,1,100,0,132,108,136,570,100,11,100,0,100,0,113,42,99,10711,100,0,,,100,11,,,,,,,,,,,,,,,,,,,,,100,47,100,47,214,28,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/15,Z300NCXQ,ST4000DM000,4.00079E+12,1,119,231595264,,,92,0,100,15,100,0,89,877680433,,,80,17760,100,0,,,100,14,,,,,,,99,1,100,0,100,0,100,0,100,0,80,20,100,0,100,2,61,79151,20,20,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.7831E+14,100,19880749288,100,94554235590,,,,,,,,,,
10/12/15,Z300YVG2,ST4000DM000,4.00079E+12,1,113,50651440,,,97,0,100,3,100,0,82,184739428,,,84,14741,100,0,,,100,3,,,,,,,100,0,100,0,100,0,100,0,91,9,75,25,100,0,100,1,100,691,25,25,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.11214E+14,100,20957558136,100,1.9152E+11,,,,,,,,,,
10/12/15,Z300GPP8,ST4000DM000,4.00079E+12,1,119,230756424,,,92,0,100,15,100,0,84,237216414,,,78,19408,100,0,,,100,15,,,,,,,100,0,100,0,100,0,100,0,90,10,74,26,100,0,100,10,95,11383,26,26,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,19228,100,22950888228,100,95958443065,,,,,,,,,,
10/12/15,Z4D07ETN,ST6000DX000,6.00118E+12,1,111,40301424,,,87,0,100,11,100,8,78,21842853125,,,96,4345,100,0,,,100,11,,,,,,,100,0,100,0,100,0,100,4295032833,100,0,63,37,99,2133,100,0,95,10167,37,37,66,40301424,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,2.50053E+13,100,17054880831,100,71348181131,,,,,,,,,,
